kanji,unicode,jumlah_goresan,joyo_status,joyo_urutan,kyouiku_kelas_sd,grade_kanjiapi,jlpt_baru,jlpt_lama,kanken_level,kanken_level_alt,kanken_kyu_resmi,kanken_dict_page,kanken_url,kanjipedia_url,freq_rank_mainichi_shinbun,on_yomi,kun_yomi,nanori,meanings_en,meaning_jp,bentuk_lama_kyuujitai,radikal_kanken,radikal_info_kanken,jukugo_contoh,jumlah_kosakata_terkait,antonim,sinonim,mirip_bentuk,varian,struktur_dekomposisi_kanjivg,elemen_kanjivg,radikal_kanjivg,radikal_posisi_kiri_kanan,radikal_posisi_atas_bawah,jis_menkuten,jis_unicode,jis_level,kategori_nama_anak,kanken_zititai_kubun,sumber
㓇,34C7,6,FALSE,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2-03-15,U+34C7,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㓛,34DB,5,FALSE,,,,,,,,,,,,,,,,"[""achievement"", ""efficacy"", ""good results"", ""merit"", ""meritorious""]",,,,,,0,,,,,,,,,,1-14-59,U+34DB,3,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㔟,351F,10,FALSE,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2-03-40,U+351F,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㕝,355D,8,FALSE,,,,,,,,,,,,,,,,,,,,,,0,,,,"[""事"", ""亊""]",,,,,,2-03-61,U+355D,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㕞,355E,9,FALSE,,,,,,,,,,,,,,,,"[""a brush"", ""expecially from blocks"", ""to brush"", ""to clean"", ""to print"", ""to scrub""]",,,,,,0,,,,,,,,,,2-03-62,U+355E,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㕣,3563,5,FALSE,,,,,,,,,,,,,,,,"[""a marsh at the foot of the hills"", ""name of a river""]",,,,,,0,,,,,,,,,,2-03-65,U+3563,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㕮,356E,7,FALSE,,,,,,,,,,,,,,,,"[""Chinese medicine term"", ""to chew"", ""to dwell on"", ""to masticate""]",,,,,,0,,,,,,,,,,2-03-71,U+356E,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㖦,35A6,11,FALSE,,,,,,,,,,,,,,,,"[""loquacity""]",,,,,,0,,,,,,,,,,2-04-03,U+35A6,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㖨,35A8,11,FALSE,,,,,,,,,,,,,,,,"[""Indistinct nasal utterance"", ""laugh"", ""sound of birds""]",,,,,,0,,,,,,,,,,2-04-06,U+35A8,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㗅,35C5,12,FALSE,,,,,,,,,,,,,,,,"[""angry"", ""the throat"", ""what? how? why? which?""]",,,,,,0,,,,,,,,,,2-04-15,U+35C5,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㗚,35DA,13,FALSE,,,,,,,,,,,,,,,,"[""annoying"", ""complicated"", ""prosy"", ""vexingly verbose or wordy""]",,,,,,0,,,,,,,,,,2-04-24,U+35DA,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㗴,35F4,15,FALSE,,,,,,,,,,,,,,,,"[""an indictment"", ""dogs fighting"", ""to go to law""]",,,,,,0,,,,,,,,,,2-04-34,U+35F4,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㘅,3605,17,FALSE,,,,,,,,,,,,,,,,"[""to hold in the mouth""]",,,,,,0,,,,,,,,,,2-04-42,U+3605,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㙊,364A,11,FALSE,,,,,,,,,,,,,,,,"[""a place to pile a sand-hill"", ""a threshing floor"", ""an area of level ground"", ""an open space"", ""arena for drill, etc.""]",,,,,,0,,,,,,,,,,2-04-89,U+364A,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㚑,3691,6,FALSE,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2-05-31,U+3691,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㚖,3696,8,FALSE,,,,,,,,,,,,,,,,"[""glossy"", ""shining"", ""to be known by all"", ""to come out to the open""]",,,,,,0,,,,,,,,,,2-05-35,U+3696,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㚙,3699,8,FALSE,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2-05-33,U+3699,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㛏,36CF,10,FALSE,,,,,,,,,,,,,,,,"[""used in girl's name""]",,,,,,0,,,,,,,,,,2-05-55,U+36CF,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㝡,3761,11,FALSE,,,,,,,,,,,,,,,,"[""exceedingly"", ""most"", ""superior"", ""very""]",,,,,,0,,,,,,,,,,2-08-03,U+3761,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㝢,3762,12,FALSE,,,,,,,,,,,,,,,,"[""a house"", ""a roof"", ""appearance"", ""look"", ""space""]",,,,,,0,,,,,,,,,,2-08-05,U+3762,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㝫,376B,14,FALSE,,,,,,,,,,,,,,,,"[""shape of the sky""]",,,,,,0,,,,,,,,,,2-08-09,U+376B,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㝬,376C,14,FALSE,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2-08-08,U+376C,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㝵,3775,8,FALSE,,,,,,,,,,,,,,,,"[""complacent"", ""hindrance"", ""restraint"", ""to concern"", ""to get"", ""to hinder"", ""to injure"", ""to obstruct"", ""to offend"", ""to stop progress""]",,,,,,0,,,,,,,,,,2-08-12,U+3775,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㞍,378D,6,FALSE,,,,,,,,,,,,,,,,,,,,,,0,,,,"[""尻""]",,,,,,1-47-63,U+378D,3,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㟁,37C1,8,FALSE,,,,,,,,,,,,,,,,"[""bank"", ""beach"", ""coast"", ""shore""]",,,,,,0,,,,,,,,,,2-08-30,U+37C1,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㟢,37E2,11,FALSE,,,,,,,,,,,,,,,,"[""character different from others"", ""rugged and weird"", ""the rocks on the hills are of different shapes""]",,,,,,0,,,,,,,,,,1-47-79,U+37E2,3,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㟨,37E8,12,FALSE,,,,,,,,,,,,,,,,"[""a fountain in the side of a hill"", ""name of a mountain""]",,,,,,0,,,,,,,,,,2-08-54,U+37E8,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㟴,37F4,13,FALSE,,,,,,,,,,,,,,,,"[""lofty"", ""lump on the hills"", ""rough"", ""rugged"", ""steep"", ""the dejection one feels at heart""]",,,,,,0,,,,,,,,,,2-08-57,U+37F4,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㟽,37FD,14,FALSE,,,,,,,,,,,,,,,,"[""mountain top"", ""pointing mountain"", ""summit""]",,,,,,0,,,,,,,,,,2-08-60,U+37FD,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㠀,3800,14,FALSE,,,,,,,,,,,,,,,,"[""island"", ""isle""]",,,,,,0,,,,,,,,,,2-08-62,U+3800,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㠯,382F,5,FALSE,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2-08-79,U+382F,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㠶,3836,6,FALSE,,,,,,,,,,,,,,,,"[""a sail"", ""to sail""]",,,,,,0,,,,,,,,,,2-08-81,U+3836,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㡀,3840,8,FALSE,,,,,,,,,,,,,,,,"[""old and wear out"", ""ragged"", ""ragged clothing""]",,,,,,0,,,,,,,,,,2-08-84,U+3840,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㡜,385C,14,FALSE,,,,,,,,,,,,,,,,"[""left over"", ""ragged clothes"", ""remainder"", ""the excess"", ""the surplus"", ""to cut out (of silk fabrics) as a design""]",,,,,,0,,,,,,,,,,2-08-89,U+385C,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㡡,3861,15,FALSE,,,,,,,,,,,,,,,,"[""screen to make a temporary kitchen""]",,,,,,0,,,,,,,,,,2-08-91,U+3861,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㣺,38FA,5,FALSE,,,,,,,,,,,,,,,,"[""intention"", ""the affections"", ""the heart"", ""the mind"", ""the moral nature"", ""the radical on left side of the character""]",,,,,,0,,,,,,,,,,2-12-27,U+38FA,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㤗,3917,9,FALSE,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2-12-38,U+3917,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㤚,391A,10,FALSE,,,,,,,,,,,,,,,,"[""delight"", ""gratification"", ""joy""]",,,,,,0,,,,,,,,,,2-12-42,U+391A,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㥯,396F,14,FALSE,,,,,,,,,,,,,,,,"[""careful"", ""cautious"", ""compassionate"", ""prudent"", ""to take an interest in"", ""worried and grieved""]",,,,,,0,,,,,,,,,,2-12-64,U+396F,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㩮,3A6E,21,FALSE,,,,,,,,,,,,,,,,"[""to lift up or off"", ""to raise high"", ""to unveil""]",,,,,,0,,,,,,,,,,2-13-59,U+3A6E,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㩳,3A73,22,FALSE,,,,,,,,,,,,,,,,"[""expel"", ""to detain"", ""to grasp"", ""to hold"", ""to push"", ""to raise up"", ""to shirk"", ""to stand upright"", ""to uphold""]",,,,,,0,,,,,,,,,,2-13-63,U+3A73,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㫖,3AD6,7,FALSE,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2-13-81,U+3AD6,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㫗,3AD7,7,FALSE,,,,,,,,,,,,,,,,"[""deep friendship"", ""generous"", ""thick"", ""to treat kindly""]",,,,,,0,,,,,,,,,,2-14-22,U+3AD7,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㫪,3AEA,10,FALSE,,,,,,,,,,,,,,,,"[""to pound (grain) in order to remove the husk""]",,,,,,0,,,,,,,,,,2-13-92,U+3AEA,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㬎,3B0E,14,FALSE,,,,,,,,,,,,,,,,"[""bright"", ""chrysalis"", ""cocoons"", ""evident"", ""fibrous"", ""motes in a sunbeam"", ""to appear"", ""to be illustrious"", ""to display"", ""to manifest"", ""to seem"", ""will not have a pleasant conversation""]",,,,,,0,,,,,,,,,,2-14-14,U+3B0E,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㬚,3B1A,16,FALSE,,,,,,,,,,,,,,,,"[""bright"", ""clear"", ""light""]",,,,,,0,,,,,,,,,,2-14-18,U+3B1A,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㬜,3B1C,16,FALSE,,,,,,,,,,,,,,,,"[""to advance"", ""to flourish"", ""to increase""]",,,,,,0,,,,,,,,,,2-14-20,U+3B1C,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㬢,3B22,17,FALSE,,,,,,,,,,,,,,,,"[""sunlight"", ""sunshine"", ""the light of day""]",,,,,,0,,,,,,,,,,1-85-41,U+3B22,3,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㭭,3B6D,11,FALSE,,,,,,,,,,,,,,,,"[""a bond"", ""a deed"", ""a drag"", ""a harrow"", ""a kind of tree"", ""a written contract or agreement"", ""handles of spears or lances used in ancient times""]",,,,,,0,,,,,,,,,,2-14-77,U+3B6D,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㭷,3B77,11,FALSE,,,,,,,,,,,,,,,,,,,,,,0,,,,"[""朸""]",,,,,,2-14-69,U+3B77,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㮇,3B87,12,FALSE,,,,,,,,,,,,,,,,"[""a builder's frame for measuring"", ""a cylinder part on the old style of wooden doors"", ""a poker (for stirring fire)"", ""juniper""]",,,,,,0,,,,,,,,,,2-15-08,U+3B87,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㮈,3B88,12,FALSE,,,,,,,,,,,,,,,,"[""a remedy"", ""a resource"", ""but"", ""how"", ""to bear"", ""to endure"", ""what""]",,,,,,0,,,,,,,,,,2-15-09,U+3B88,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㮍,3B8D,13,FALSE,,,,,,,,,,,,,,,,"[""a document"", ""a memorandum tablet"", ""a note"", ""comments"", ""fancy note-paper"", ""slip of paper""]",,,,,,0,,,,,,,,,,2-15-12,U+3B8D,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㮤,3BA4,14,FALSE,,,,,,,,,,,,,,,,"[""fir"", ""lax"", ""loose"", ""pine"", ""slack""]",,,,,,0,,,,,,,,,,2-15-20,U+3BA4,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㮶,3BB6,14,FALSE,,,,,,,,,,,,,,,,"[""a fence"", ""a palisade"", ""a railing"", ""a tree""]",,,,,,0,,,,,,,,,,1-85-94,U+3BB6,3,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㯃,3BC3,15,FALSE,,,,,,,,,,,,,,,,"[""black"", ""lacquer"", ""paint"", ""sticky"", ""the varnish tree"", ""to paint or varinish"", ""varinish""]",,,,,,0,,,,,,,,,,1-86-01,U+3BC3,3,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㯍,3BCD,15,FALSE,,,,,,,,,,,,,,,,"[""an oar""]",,,,,,0,,,,,,,,,,2-15-40,U+3BCD,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㯰,3BF0,17,FALSE,,,,,,,,,,,,,,,,"[""plants"", ""to erect"", ""to plant"", ""to set up""]",,,,,,0,,,,,,,,,,2-15-61,U+3BF0,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㰏,3C0F,20,FALSE,,,,,,,,,,,,,,,,"[""a bamboo pole"", ""a pole for punting a boat""]",,,,,,0,,,,,,,,,,1-86-26,U+3C0F,3,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㰦,3C26,9,FALSE,,,,,,,,,,,,,,,,"[""to breath with mouth open""]",,,,,,0,,,,,,,,,,2-15-87,U+3C26,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㳃,3CC3,8,FALSE,,,,,,,,,,,,,,,,"[""to dip into water"", ""to dye"", ""to soak"", ""to temper iron or steel for making swords, etc. (also used figuratively)""]",,,,,,0,,,,,,,,,,2-78-27,U+3CC3,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
㳒,3CD2,9,FALSE,,,,,,,,,,,,,,,,"[""a rule"", ""laws"", ""legal standard"", ""plan or methods, etc."", ""regulations"", ""statutes""]",,,,,,0,,,,,,,,,,2-78-34,U+3CD2,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
